,text,label
40,""""""" my father has donated blood over 60 times so far . i 've learnt that if there 's anyone who is in need of blood , surely there 's someone who can donate blood and help save a precious life . """"""",1
41,"in september , a photo of the lifeless body of toddler aylan kurdi face-down on a turkish beach changed the way europeans viewed the refugees arriving at their borders . hostility turned to a sense of humanitarian duty .",1
42,"according to the data of the national disaster management authority , 386 people were killed and 816 injured . malar and mashkai tehsils of awaran were the worst hit . the ndma confirms more than 32,000 houses were flattened out and more than 14,000 partially damaged . unofficial sources claim that the digits are watered down . numbers aside , death and devastation is certainly enormous . life is still scrambling through the heaps of debris particularly in awaran district . countless people are still homeless taking shelter with their relatives and acquaintances in neighbouring lasbela , hub and other areas .",1
43,mother of three on the brink of being homeless again <h> by,1
44,"as for men who abuse women , the least said about them the better . and to those who seek sexual favors from vulnerable women ... ayekoo ! ( well done ! ) for all you know , you are the ones promoting sex workers in the world today . as i mentioned earlier , most of these women have good hearts and their behaviors may have been triggered by a horrible background , find out and be good towards them . marry them if it demands you should .",1
45,"recommendations include the targeted use of the national training fund ( ntf ) , zero-rate employers prsi contributions for those engaging apprentices in trades in need of stimulus and the reintroduction of the statutory employer redundancy rebate as an incentive to employment .",0
46,"according to a paper presented at that melbourne conference in 1889 , 77% of the inmates of australia 's 18 public lunatic asylums were immigrants , while at that point the immigrant population as part of the general population was around 33% . the irish formed the largest group of inmates at 27% , closely followed by england and wales at 23% and scotland at 6% .",0
47,""""""" they have after nine years discovered there 's a housing crises and homelessness. """"""",0
48,a homeless man sleeps in the wanhua district in taipei . ( photo : afp/sam yeh ),0
49,"after a big casino win , mario balotelli gave a homeless man ? 1,000 ( pa ) .",1
50,ms mitchell noted children ' by their nature are developmentally vulnerable . ',0
51,""""""" on the sabah rci , ( we ) should be proud of najib , although there are statements from the rci that are less than good for the bn but bn is continuing with it , he is trying to be transparent , """" vell said , in a nod to the royal commission of inquiry into claims illegal immigrants were fast-tracked for citizenship to exchange for voting in the bn coalition and sustain its hold on power .""",0
52,"bishops having a meal with poor families on the eve of the international eucharistic congress ( iec ) was meaningful symbol . without it , the opening mass on sunday would have been nothing more than ritual reverence of the eucharist . and reverence is not enough . papal legate charles maung cardinal bo stressed in his homily the need for christians to make the poor feel christ 's love for them .",1
53,""""""" so many of us see the state of our home as some kind of reflection of our self-worth ( even though it 's not ! ) , and a mess can so easily make you feel like a failure . and for those who have mental illnesses , chronic illness , chronic pain , or disabilities , this can be even worse , because when you 're not physically able to do a whole-house clean , it can all seem a little hopeless . """"""",1
54,"the signature brand is for young gentlemen who are just starting out in life and are seeking optimal value for money . signature collections are designed with the practical lifestyle and fashion needs of young men in mind , whether they are youth seeking style and sophistication at an affordable price point or entry-level professionals in need of well put-together outfits that will enable them to stand out at work . the signature brand features the use of bold , distinct colours , prints and designs along with the use of high quality fabrics and embellishments to create looks and outfits that make a strong fashion statement .",0
55,"mrs gachagua attributed her kind gesture to a perennial , disturbing sight of despondent children from poor families gawping at kids from rich households as they make merry during festive seasons .",1
56,there are 43 million people worldwide who have been forced to flee and they suffer many of the same types of abuses and unstable living conditions that refugees face .,0
57,"this collaboration between institut onn ja'afar ( ioj ) with yayasan chow kit ( yck ) invites all malaysians to give breakfast to the homeless by starting their soup kitchen as early as 7am . they operate once every two weeks , on the first and third wednesdays of each month outside kl krash pad at 346 , jalan tuanku abdul rahman .",1
58,"apprehensions are deemed an indicator of overall flow : the more people caught , the more that are believed to be getting through . the flow seems to have picked up again as spring approaches . authorities arrested at least 1,190 southeast asian illegal immigrants since february 1 .",0
59,"the flood incident also left 91 people with injuries , 160 families ' homeless and loss to a number of livestock .",0
60,""""""" the commitment of christians in this field is as urgent today as in the past . just look at the past century , we remember the wonderful figure of st. frances cabrini , who dedicated her life together with her companions to migrants to the united states of america . today too we need similar witness so that mercy can reach many in need . it is a commitment that involves everyone , without exception . dioceses , parishes , institutes of consecrated life , associations and movements , as well as individual christians , we are called to welcome the brothers and sisters fleeing war , famine , violence and inhumane living conditions . all together we are a great strength of support for those who have lost home , family , work and dignity . """"""",1
61,"bangladesh is in need of a unified qualification framework to facilitate lifelong learning by opening up access , attracting investment and recognizing non-formal and informal learning , experts have said .",0
62,"yavatmal : in a forward push for women power , yavatmal seems to have scored big for the next five years as seven out of ten municipal councils across the district has been reserved for women . out of the 10 , eight councils are scheduled for election in november-december this year and the remaining two will go to polls when their current tenure is over .",0
63,"the first point worth mentioning is low levels of living , characterized by low incomes , inequality , poor health and inadequate education . in developing countries , the levels of living tend to be very low for the vast majority of people . these low levels of living are manifested quantitatively and qualitatively in the form of low life and work expectancies , high infant mortality rate and in many cases a general sense of malaise and hopelessness .",1
64,22 australia-bound sri lankan migrants arrested <h> email to friend,0
65,"the city 's ability to make sure the holes are properly filled is hopelessly inadequate , which gives utility contractors and even the city 's own crews a free pass to ignore them .",0
66,section 32 of the 1998 refugees act gives power to the director to give refugees the work permit but in practice few refugees have been able to get these work permits and many of the few who got permits were subjected to the high fee out of the reach of refugees .,0
67,"michael gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing demand on food banks has , unsurprisingly , sparked an angry response . critics feel the conservative party is out of touch with the pressures on ordinary families .",1
68,"""the students who reported being homeless said they often """" couch-surfed """" or slept in their cars , in tents , in parking lots or railway stations . the study , the first such survey in the country , said a system-wide commitment was needed to remedy the situation . """" csu campuses are developing programs to support the needs of displaced and food insecure students , """" the report said . """" however , a greater understanding of this student population , their experiences accessing and utilising existing services , and their rates of retention is needed , """" elizabeth chapin , a spokeswoman for csu , said the study would continue for another two years to assess how widespread the issue of homelessness and hunger is among students and to come up with intervention programs to assist them and ensure they graduate .""",0
69,he urged his fellow disabled men and women to support president mahama to have their lives transformed .,1
70,"""reiterating moscow 's official stance , he said : """" we in general believe that this policy of sanctions is short-sighted , unlawful and hopeless . """"""",0
71,""""""" we are taking a community that is fairly vulnerable and bringing them to a level where they are empowered . """" <h> victoria kioko""",1
72,opinion column <h> anti-immigrant politics spark racist violence,0
73,"last month , the prime minister declared the review process complete and pledged to return nearly 10,000 square kilometres ( 3,860 square miles ) to poor families , leaving 11,000 square kilometres for concessions . human rights groups expressed skepticism since only 40 concessions had been cancelled and the government did n't disclose how it reached the figure or details about the review process .",0
74,"""she asks , with despair in her voice : """" what 's the point of cooking for the homeless when the homeless ca n't cook for themselves tomorrow ? """" throwing her hands up in the air , she retorts : """" how was i supposed to start when i did n't have the funding ? """"""",1
75,"even some improvements in the food stamps program made it more accessible for working poor families , lower-basch said . people can now apply online and undergo interviews via the telephone so they do n't have to leave their jobs . the benefit is available to those with income up to 130% of the poverty line , or roughly $31,200 for a family of four in 2010 .",0
76,"4 . vocational rehabilitation is an effective strategy to increase employment of persons with physical disabilities , particularly young people . at the same time , international experience with policies for injured and disabled workers shows that integrating disability benefits with other social services such as childcare and health benefits is a key to success , promoting earlier return to work and greater labour force participation .",0
77,"""the subsequent """" everywhere , """" in which he carries the memory of a small-town sweetheart on his travels , also recounts unrequited love . the acoustic break represented mcgraw at his most vulnerable . he pulled it off .""",0
78,"the press council of australia recommends that the media not use the terms ' ' illegal immigrants ' ' or ' ' illegals ' ' , saying they would could ' ' reasonably be interpreted as implying criminality or other serious misbehaviour ' ' .",0
79,"kyle really your a pig , lol youre also very ignorant do nt like over weight women , well have u looked in the mirror recently your fat , you and your boss should be sacked never to return to radio , , how dare you say go for the disabled , your more disabled than the disabled olympians , they have a genuine heart , you do nt have one ,",1
80,"why are so many of us hopelessly addicted to fatty and sugary foods that we know are bad for us ? why do we never get the same cravings for fruit , vegetables or brown rice that we do for chocolate , crisps and chips ?",0
81,"the u.s. military has been asked by the department of homeland security to house and care for immigrant families totaling up to 12,000 people , the pentagon said on wednesday , in the latest sign the military is being drawn into a supporting role for president donald trump 's immigration policies .",0
82,( italy elections ) anti-immigrant league party noses ahead of berlusconi party,0
83,"""eight others including three tanzanians have appeared in court to face legal charges , """" mr msumule elaborated . meanwhile , the immigration officer called for vigilance among the citizens who have been requested to share intelligence information with the immigration department to expose illegal immigrants .""",0
84,"soon , instead of just representing homeless clients at arraignments and bail hearings , public defenders will refer them to shelters . rather than simply arguing over mental competence , lawyers will also direct people to specialized treatment . need a tattoo removed ? pozzi 's attorneys know a guy .",0
85,""""""" some of these irish immigrants were as young as 14 or 15 . many had never been on a bus or a train . they wore old-fashioned clothes , and when they opened their mouths in britain nobody could understand them , they were so different from the slick , urbanized british they came into contact with , """" he told the irish independent .""",0
86,but the reality is that right now young people from immigrant backgrounds are being radicalised .,0
87,"jui is an extremely poor girl i met in rajshahi . she is chronically underfed , malnourished and frequently ill . she faces social , economic and gender exclusion . her father left her mother , as is common among extremely poor families . her mother owns no assets , savings or land . she has no skills or education . they will remain in abject poverty throughout their lives and from one generation to the next .",0
88,"the bank group 's support focused on major transformational projects in agriculture and power , and also on social safety nets , conditional cash transfers for poor families , job creation programs for young people , and higher education .",0
89,arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .,1
90,"following a trip to a community center over the weekend and interacting with some homeless people , cy leung ( inset ) suggested that his opponents were to blame for local housing woes . credits : facebook , reuters <h> how the cold weather has exposed leung govt 's shortcomings",1
91,"mha special secretary ( internal security ) rina mitra , joint secretary satyendra garg and others had said in august that all refugee camps in tripura would be shut down if the brus failed to return to mizoram by the end of september .",0
92,"the goal of the new partnership is to provide countries , ngos , and the public with unprecedented levels of access to data through a platform that monitors environmental changes . once completed , the platform will allow countries to see which areas are in need of the most immediate attention , while also allowing them to track the progress that they have made on their ecosystems so far .",0
93,"""local td derek keating said : """" we need to carry this woman through this very dark and difficult time . clearly this person is in need of medical support .""",1
94,"state authorities have ordered that air coolers be installed in shelters for homeless people , which are often windowless tin shacks .",0
95,""""""" you feel tired . a messy home is a visual and psychic drain . all the stuff scattered around your home is a constant reminder of the things you have to do . and the things you have n't done . you 're exhausted just thinking about it . so then , you feel hopeless : there 's just so much stuff , where would you even start ? what difference would it make if you did ? so you feel powerless . and powerless means you feel out of control : how did this stuff even get here ? you do n't want it to be here , but here it is .... """"""",0
96,"the global gender gap report 2016 has ranked pakistan 143 out of 144 countries . this really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",1
97,"""roddy slorach , vice chair of a ucu committee of disabled members , described the controversy as """" a storm in a tea cup """" , saying most members agreed with the union 's policy .""",0
98,"as the prosecutor , beth silverman , showed photo after photo of the 10 victims to a packed courtroom , family members of the dead young women wept . some covered their faces , others walked out .",0
99,"stephanie envisioned a model whereby women in need would be taught a skill such as handcrafts , and be paid a fair trade wage for their efforts . in turn , the women who had experienced hardship and marginalisation would grow to become self-sufficient . with the products then sold in australia via an online store and a network of retailers , the profits would be reinvested in seven women to continue the cycle of empowerment .",1
100,"this is just mind-boggling -- report after report is saying that dhaka is vulnerable to an imminent earthquake and the consequences of it will be catastrophic , and yet , no one seems to care ! no one seems to be doing anything about it .",0
101,"if dhoni and his boys can turn around from such a hopeless position and actually win the series by beating the rampaging australians in the next three matches , it will be nothing short of a miracle .",0
102,"penampang : some 30 volunteers spend their merdeka celebration by helping a disabled man build a new grocery shop at his house at kampung dabak , here .",0
103,"varanasi : over six decades to independence and the muslim community may still be lagging behind in the field of education . but , a number of muslim women and girls-- particularly hailing from poor families-- are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community . they are doing the community proud by making sincere efforts at spreading literacy , especially among other girls and children .",1
104,thousands of people rallied in melbourne saturday in support of 600 men refusing to leave an australian-run migrant camp in papua new guinea ( png ) that closed this week .,0
105,andrew garfield and claire foy in an inspiring biographical drama about a man who devotes his entire life helping patients and disabled,1
106,"apart from the striking resemblance , boris and trump share the odd tongue . ever so quick to dish out insults and make racial slurs , the pair have risen to become poster boys for the anti-immigrant movement in western societies . just like trump , he is infamous for his interview gaffes and while running for the position as mayor of london , he had to make several cuts to his personality including his haircut to make him appear ' serious . ' londoners defied his anti-muslim and immigrant rhetoric when they voted sadiq khan ; a muslim and son of pakistani immigrants , as his successor in may 2016 .",0
107,""""""" this operation to protect civilians in the region also aimed to bring medical assistance to people in need , """" the head of minusma , mahamat saleh annadif , said in the statement .""",0
108,mombasa county team manager anisa abdala called on the corporate community to sponsor various teams as a way of showing solidarity with the disabled .,1
109,"instead , rafizi told supporters , they should feel sorry and sad for the poor families who would continue to suffer under prime minister najib abdul razak 's administration .",1
110,a : moi is a personal friend . i can pick this phone even now and he will tell me ' come to kabarak . ' he is very generous and kind . he can pay school fees for children from poor families and bare-foot women from baringo could go to his house and eat with him .,1
111,housing minister grant shapps added : ' the plight of homeless people should be on our minds all year round - not just at christmas .,1
112,"the challenges of traceability to achieve traceability , it is essential to know each link in lengthy supply chains . with current systems however , effective interoperability of data along the supply chain poses a large technical challenge . a centralized system , with a governing third party was , until recently , the only conceivable way to achieve data and transaction transparency . a single organization ca n't be responsible for making data throughout a whole supply chain transparent . ngos or industry associations do not have the capacity to manage this transparency and if they could they would be a vulnerable target for bribery , social engineering , or targeted hacking .",0
113,"grant ryan grant is a hopelessly addicted inventor . he has founded a number of companies including globalbrain.net ( sold to nbci ) , real contacts ( sold to intel ) , sli systems ( listed nzx ) and eurekster , yikebike and pure pods . he is now having fun trying to help make nz predator free with the cacophony project . he has also served on the board of the new zealand government 's $140 million venture investment fund , $430 million foundation for research science and technology . grant has a degree in mechanical engineering and a phd in ecological economics from the university of canterbury .",0
114,"according to documents , the project will enable the expansion of the cash transfer programme ( paid to the female head of targeted poor families ) by registering an additional 2.4 million eligible families and financing the first few quarters of their cash transfers . in addition , it will support the strengthening and phased expansion of the pilot health insurance and skills development programmes to increase income and good health for targeted families .",0
115,"coastweek-- to celebrate world service day , lions club of mombasa pwani in district 411a organized a ? mini-olympics ? for disabled children to participate in sporting events to display what they are able to do and to prove that ? disability does not mean inability ? on monday 20th october 2014 at a.s.k . inter-national show ground .",0
116,"us president donald trump backed down and abandoned his policy of separating immigrant children from their parents on the us-mexico border , after images of youngsters in cages sparked outrage at home and abroad , reuters ...",0
117,"he stressed for extricating the poorest from the poverty cycle and said that the government had launched a major drive against poverty , including the benazir income support programme , which was supporting millions of poor families across the country .",1
118,"the story of abraham and sarah gives evidence to this , who were , despite seeming like a hopeless situation , in part to sarah 's sterility , were able to become parents after many years .",0
119,"mr. seiveright also noted that the st. thomas despite its abundance of water , much of which goes to capital city kingston , is in need of a long term water development plan . he noted for example that the plantain garden rive has the capacity to produce 8 million imperial gallons per day ( mgd ) of water , which is more than the average day demand of 5.8mgd , for the entire parish",0
120,"the findings also shed light on the memory deficits that occur in postmenopausal women , revealing that those who have entered this stage have more difficulty learning and retrieving previously recalled information .",0
121,"if in addition ' miracles ' can be orchestrated then the acceptance and reverence become total . in a country where statistics state that unemployment is about 25 per cent but we know it is more like 70 per cent , where the next meal will come from is unpredictable and on a daily basis time just passes by ; it is not far-fetched for women to become prayer warriors for their children , husbands and siblings and are made to blame whatever is happening not on policies of the government but on the machinations of the devil .",1
122,"""this aspect of the constitution has required the court on several occasions to assess policy adopted by the government . in the seminal early case , government of the rsa and others v grootboom and others , 49 the court held that the government 's housing policy was in breach of the obligations imposed upon government by section 26 of the constitution in that it failed to """" provide for any form of relief to those desperately in need of access to housing """" 50 and ordered the government to to amend its program """" to provide relief for people who have no access to land , no roof over their heads , and who are living in intolerable conditions or crisis situations . """" 51""",1
123,lady identified as bonnie monroe revealed that she was having dinner with her children at a restaurant in georgia when a homeless man walked begging from table to table but he was chased away . he gave up and left the restaurant but monroe claimed that god immediately spoke to her not to let him go so she went after him .,1
124,"one petition signer , the reverend everett shattuck , 59 , a church of the brethren minister from mill creek , indiana , said opening his home to refugees was part of the u.s. tradition of welcoming immigrants .",1
125,mcafee said he was helping the locals by feeding poor families and providing them with jobs .,1
126,"together with wife vicky , cornell established the chris &amp; vicky cornell foundation , a charity that works with vulnerable children . the charity currently focuses on protecting these children from the ravages of homelessness , poverty , abuse and neglect . <h> 7 . cuba concert",1
127,"""unfortunately , although """" citizens """" conveyed the prevailing sense of hopelessness and despair in the land about the possibility of political change through the democratic process , the most outstanding message of the merdeka video is liow 's inability to inspire hope and confidence in the future .""",0
128,"research shows that families constitute a large and growing percentage of the area 's homeless population , especially in rural areas . abuse , underemployment , serious illness and social isolation can often put a family in crisis with no place to go . home horizon bridges the identified critical gap between emergency shelter and independent living by finding vulnerable people in crisis a safe place to live through transitional housing and personal support/counselling to re-establish their lives .",0
129,"the duo became the ' go-to ' forgers for criminal gangs in north london by selling passports , driving licences and national identity cards to criminals and illegal immigrants seeking a new identity ( pictured )",0
130,""""""" they 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . that 's the joke . in reality he 's got a great game . """"""",0
131,"hojjat gharibian was one of hundreds of homeless iranian survivors , who was huddled against the cold with his family in qasr-e shirin.",1
132,"""the province already has extensive """" francisation """" programs , where new immigrants learn french while being initiated into the various aspects of life in quebec . those who are already fluent in french do not benefit from this period of adaptation and are left to their own devices . their knowledge of french , acquired in entirely different contexts , does n't provide them with the codes needed to make their way into mainstream quebec and easily integrate into the job market .""",0
133,"$68,000 raised to help ' snowflake boy ' and other poor families in yunnan <h> photo : china daily/asia news network",0
134,the result of this is that many organisations are closing down and this too affects the treatment for those in need .,0
135,the randomised control trial of the j2si mark ii intervention compares outcomes for homeless adults receiving the trauma-informed intervention from sacred heart mission with those who receive existing services within the homelessness service system in melbourne . the trial includes six waves of data collection over three years .,0
136,"""it would be in keeping with the tone of trump 's campaign were he to focus the first day project on terrorising some of the most vulnerable and powerless people in america : the undocumented immigrants . he has said that """" on day one """" - in his first hour , in fact - he would begin to expel """" criminal illegal immigrants """" .""",0
137,ban urged the international community to raise money for the un 's central emergency response fund to support individuals worldwide that are in need of help .,0
138,"president muhammadu buhari is on a divine mission to rescue the nigeria from the brink of collapse and hopelessness , speaker of the house of representatives , rt . hon. yakubu dogara has said .",1
139,"""sm hassan siddiquee pope francis has proclaimed mother teresa of kolkata a saint , hailing her as the personification of maternal love and a powerful advocate for the poor . queen sofia of spain and some 1,500 homeless people also looked on as pope francis described saint teresa 's work in the slums of the indian metropolis as """" eloquent witness to god 's closeness to the poorest of the poor . """" there has been debates and controversies over saint teresa 's legacy since she ...""",1
140,"a highlight of the week will be a public lecture and panel discussion next tuesday , september 20 , at 5:00 pm at the uwi library multifunctional room , by the inspiring marilyn lacey , a religious sister of mercy ( rsm ) , who has worked with migrants and refugees worldwide and has received multiple international honours for her compassionate outreach . her topic is : ' mercy : god 's unexpected path to justice ' .",1
141,"the fools behind you , who most likely belonged to that annoying neighbouring clan , could catch cholera for all you cared . second , seniority was strictly observed . if you were just about to step onto the log placed across the stream , and an elder walked in , you gave way . third , and for obvious reasons , men and women never bathed in the same place , and although they were separated by a few bushes , we had the sense not to peep . hilarious things happened in these places .",0
142,"that many black americans remain mired in a futile message of hopelessness should not surprise anyone . president obama 's dubious background and divisive nature have repeatedly been ignored by half the country . nevertheless , the president 's apathy for leadership and his audacious lip service regarding the historical possibility of what his election ( supposedly ) symbolized to this great nation is arguably the worst catastrophe of his presidency so far .",0
143,the homeless teenager accused of killing a university of texas freshman claimed to have had a chaotic childhood marked by violence and abuse .,0
144,"the nuns and refugees had been told to go to the auditorium , whose doors were then locked . the japanese threw grenades at the victims from a hole in the ceiling , setting off pandemonium . tony caught a grenade and hurled it against the wall , blowing open a small gap through which he escaped .",0
145,"saudi arabia has extended its three-month amnesty for illegal immigrants to 24th july , 2017 , by which time illegal residents are to leave or be sanctioned by the authorities .",0
146,"american hegemony in industry is history , they simply allowed and even encouraged their prosperity to be exported to low -wage economies , resulting in local unemployed folk living in poverty , unable to pay the electricity bill and keeping themselves from depression and hopelessness by sniffing , snorting , smoking or injecting themselves with opiates .",1
147,a large number of women also take part in closing prayers with the elderly at the biswa ijtema in tongi on sunday . photo : asif mahmud ove,0
148,"at present , the program benefits more than four million poor families , including 11 million children , it said .",0
149,houston ( ap ) -- the boston red sox have put major league batting leader mookie betts on the 10-day disabled list because of a left abdominal strain .,0
150,"""visiting the camp on tuesday , the european union 's top migration official , dimitris avramopoulos , urged refugees to ignore ruthless smugglers , saying : """" by following the legal path , they will be able , one day , to live under better conditions . """"""",1
151,shumugum was well known among the local community for her charitable deeds and missionary work to homeless people on south beach where she and her husband jonathan shumugum regularly fed them .,1
152,"due credit must be given to the celebrities , as most of them provided with monetary help the flood-affected . however , it was south indian actor siddharth and big fm radio jockey balaji who are still on the field providing help directly . siddharth has been doing rounds giving pickups and drops . while rj balaji has been arranging relief materials with the help of social media and providing them to the people in need .",1
153,"preaching the sermon , the dean of the st. peter 's cathedral , very rev. seth amoako-adu observed that , the distasteful scenes at the osu children 's home , which were aired recently , could have been avoided , if the ghanaian society had shown a little more care to the orphans and vulnerable children at the home .",1
